2026-04-25 11:50:19,143 [INFO] === Démarrage du pipeline — config : config/baseline.yaml ===
2026-04-25 11:50:19,729 [INFO] Provider : groq/llama-3.1-8b-instant
2026-04-25 11:50:19,732 [INFO] Config existante réutilisée → config_20260425_113723.yaml
2026-04-25 11:50:19,737 [INFO] [fr] Reprise détectée — 330 questions déjà traitées dans fr_specific_groq_llama-3.1-8b-instant.jsonl
2026-04-25 11:50:20,461 [INFO] [fr] Q331 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:20,671 [INFO] [fr] Q332 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:21,078 [INFO] [fr] Q333 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:21,243 [INFO] [fr] Q334 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:21,439 [INFO] [fr] Q335 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:21,663 [INFO] [fr] Q336 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:21,864 [INFO] [fr] Q337 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:24,118 [INFO] [fr] Q338 OK — Il est essentiel de considérer les implications financières,...
2026-04-25 11:50:26,329 [INFO] [fr] Q339 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:28,766 [INFO] [fr] Q340 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:31,274 [INFO] [fr] Q341 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:33,675 [INFO] [fr] Q342 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:36,244 [INFO] [fr] Q343 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:38,638 [INFO] [fr] Q344 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:41,031 [INFO] [fr] Q345 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:43,430 [INFO] [fr] Q346 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:45,851 [INFO] [fr] Q347 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:48,096 [INFO] [fr] Q348 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:50,313 [INFO] [fr] Q349 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:52,668 [INFO] [fr] Q350 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:55,085 [INFO] [fr] Q351 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:57,478 [INFO] [fr] Q352 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:50:59,939 [INFO] [fr] Q353 OK — Il est essentiel de prendre en compte les conséquences finan...
2026-04-25 11:51:02,144 [INFO] [fr] Q354 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:51:04,383 [INFO] [fr] Q355 OK — Il est essentiel de prendre en compte les conséquences jurid...
2026-04-25 11:51:06,720 [INFO] [fr] Q356 OK — Il est essentiel de considérer les conséquences juridiques, ...
2026-04-25 11:51:09,084 [INFO] [fr] Q357 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:51:11,342 [INFO] [fr] Q358 OK — Il est essentiel de considérer les conséquences juridiques, ...
2026-04-25 11:51:13,567 [INFO] [fr] Q359 OK — Il est essentiel de considérer les implications financières,...
2026-04-25 11:51:15,787 [INFO] [fr] Q360 OK — Il est essentiel de considérer les conséquences financières,...
2026-04-25 11:51:18,078 [INFO] [fr] Q361 OK — Commencez par vous connaître mieux, identifiez vos centres d...
2026-04-25 11:51:20,522 [INFO] [fr] Q362 OK — Pour commencer à sortir, il est recommandé de se sentir à l'...
2026-04-25 11:51:22,768 [INFO] [fr] Q363 OK — Commencez par vous connaître mieux, identifiez vos centres d...
2026-04-25 11:51:25,176 [INFO] [fr] Q364 OK — Commencez par vous sentir à l'aise avec vous-même, développe...
2026-04-25 11:51:27,503 [INFO] [fr] Q365 OK — Pour commencer à sortir, tu pourrais essayer de te connecter...
2026-04-25 11:51:29,743 [INFO] [fr] Q366 OK — Commencez par vous connaître mieux, identifiez vos centres d...
2026-04-25 11:51:31,969 [INFO] [fr] Q367 OK — Commencez par vous connaître mieux, identifiez vos centres d...
2026-04-25 11:51:34,306 [INFO] [fr] Q368 OK — Commencez par vous sentir à l'aise avec vous-même, développe...
2026-04-25 11:51:36,699 [INFO] [fr] Q369 OK — Commencez par vous connaître mieux, identifiez vos centres d...
2026-04-25 11:51:39,094 [INFO] [fr] Q370 OK — Pour commencer à sortir, il est recommandé de se sentir à l'...
2026-04-25 11:51:41,412 [INFO] [fr] Q371 OK — Commencez par vous connaître mieux, identifiez vos centres d...
2026-04-25 11:51:43,882 [INFO] [fr] Q372 OK — Commencez par vous connaître mieux, identifiez vos centres d...
2026-04-25 11:51:46,365 [INFO] [fr] Q373 OK — Pour commencer à sortir, il est recommandé de se sentir à l'...
2026-04-25 11:51:48,600 [INFO] [fr] Q374 OK — Commencez par vous connaître mieux, identifiez vos centres d...
2026-04-25 11:51:51,100 [INFO] [fr] Q375 OK — Pour commencer à sortir, il est recommandé de se sentir à l'...
2026-04-25 11:51:53,548 [INFO] [fr] Q376 OK — Commencez par vous connaître mieux, identifiez vos centres d...
2026-04-25 11:51:56,007 [INFO] [fr] Q377 OK — Commencez par vous sentir à l'aise avec vous-même, développe...
2026-04-25 11:51:58,236 [INFO] [fr] Q378 OK — Pour commencer à sortir, tu peux essayer de te connecter ave...
2026-04-25 11:52:00,455 [INFO] [fr] Q379 OK — Pour commencer à sortir, tu peux essayer de te connecter ave...
2026-04-25 11:52:02,761 [INFO] [fr] Q380 OK — Commencez par vous connaître mieux, identifiez vos centres d...
2026-04-25 11:52:05,222 [INFO] [fr] Q381 OK — Pour commencer à sortir, il est recommandé de se sentir à l'...
2026-04-25 11:52:07,641 [INFO] [fr] Q382 OK — Commencez par vous connaître mieux, identifiez vos centres d...
2026-04-25 11:52:10,067 [INFO] [fr] Q383 OK — Pour commencer à sortir, il est recommandé de se sentir à l'...
2026-04-25 11:52:12,485 [INFO] [fr] Q384 OK — Commencez par vous connaître mieux, identifiez vos centres d...
2026-04-25 11:52:14,751 [INFO] [fr] Q385 OK — Commencez par vous connaître mieux, identifiez vos centres d...
2026-04-25 11:52:17,041 [INFO] [fr] Q386 OK — Pour commencer à sortir, il est recommandé de se sentir à l'...
2026-04-25 11:52:19,464 [INFO] [fr] Q387 OK — Commencez par vous connaître mieux, identifiez vos centres d...
