2026-04-25 11:37:00,480 [INFO] === Démarrage du pipeline — config : config/baseline.yaml ===
2026-04-25 11:37:01,124 [INFO] Provider : groq/lama-3.1-8b-instant
2026-04-25 11:37:01,127 [INFO] Config sauvegardée → outputs\config_20260425_113700.yaml
2026-04-25 11:37:01,788 [ERROR] [fr] Q1 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:01,847 [ERROR] [fr] Q2 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,061 [ERROR] [fr] Q3 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,122 [ERROR] [fr] Q4 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,176 [ERROR] [fr] Q5 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,232 [ERROR] [fr] Q6 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,289 [ERROR] [fr] Q7 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,348 [ERROR] [fr] Q8 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,405 [ERROR] [fr] Q9 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,460 [ERROR] [fr] Q10 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,510 [ERROR] [fr] Q11 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
